song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,year
Siriththaal Thangappadumai,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:22,Tamil,07-11-2006,0.4,0.732,0.333,0.922,-8.348,0.049,159.95,1,1,0.09,4,80,5450452,2006
Chinnappayalae,T.M. Soundararajan,/artist/tm-soundararajan,03:58,Tamil,06-04-2002,0.92,0.95,0.538,0.88,-6.634,0.03,120.064,1,2,0.02,4,41,104186,2002
Vizhigalil Kodi,S. P. Balasubrahmanyam|K. S. Chithra,/artist/s-p-balasubrahamanyam|/artist/chitra,04:20,Tamil,02-04-2005,0.18,0.433,0.279,0.209,-12.721,0.0711,106.054,1,1,0.0047,4,81,420045,2005
Kaathal Siragai,P. Susheela,/artist/p-suseela-2,03:36,Tamil,02-05-2003,0.62,0.06,0.218,0.46,-10.901,0.0621,160.004,1,8,0.025,4,91,7114806,2003
Nallathoru Kudumbam,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,04:08,Tamil,03-04-2006,0.97,0.922,0.595,0.799,-2.881,0.0046,199.898,0,1,0.06,4,62,5599828,2006
Anghayarkanni,L.R. Eswari,/artist/lr-eswari-2,03:05,Tamil,06-02-2000,0.21,0.69,0.36,0.15,-8.627,0.04,139.952,1,1,0.06,4,35,6885586,2000
Annai Mozhi,Nagore E. M. Hanifa|K. Rani,/artist/nagore-e-m-hanifa|/artist/k-rani-18,03:25,Tamil,07-01-2008,0.72,0.264,0.895,0.378,-12.497,0.012,148.264,1,2,0.0686,4,65,2077466,2008
Yesurajan,Bharathi Paul,/artist/bharathi-paul,03:03,Tamil,11-04-2009,0.48,0.16,0.258,0.51,-3.677,0.076,148.914,1,8,0.057,4,99,6151816,2009
Oru Madamagum Oruvanumagi,T.M. Soundararajan,/artist/tm-soundararajan,04:55,Tamil,02-07-2004,0.13,0.306,0.326,0.645,-12.876,0.05,187.02,1,8,0.006,4,53,6733119,2004
Iyarkai Ennum,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:36,Tamil,12-02-2023,0.31,0.44,0.728,0.61,-3.467,0.003,150.032,1,11,0.004,4,30,3733893,2023
Unnaye Gathi Enru,P. Jayachandran,/artist/p-jayachandran-1,04:22,Tamil,10-10-2020,0.86,0.2,0.15,0.43,-2.424,0.0,199.996,1,1,0.0239,4,82,8989161,2020
Entha Poovilum,S. Janaki,/artist/s-janaki,04:14,Tamil,06-10-2022,0.55,0.215,0.481,0.376,-8.53,0.023,171.388,1,1,0.07,4,70,8511553,2022
Kaiya Pudikanum Sami Kanna,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:35,Tamil,10-05-2007,0.93,0.346,0.873,0.177,-2.834,0.0089,200.126,0,8,0.0088,4,54,541074,2007
Vettri Venduma,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:31,Tamil,08-11-2020,0.56,0.07,0.1,0.4,-10.895,0.049,125.98,1,8,0.0382,4,98,7737839,2020
Naanamo - Instrumental,Kunnakudi Vaidyanathan,/artist/kunnakkudi-baidyanathan,03:56,Tamil,01-08-2022,0.76,0.258,0.622,0.445,-9.583,0.073,150.842,1,8,0.088,4,71,1799108,2022
Kaatru Veliyidai,P. Susheela|P.B. Sreenivas,/artist/p-suseela-2|/artist/pb-sreenivas,03:44,Tamil,04-01-2003,0.6,0.26,0.692,0.39,-8.764,0.009,197.98,1,1,0.051,4,32,6167095,2003
Atho Antha Paravai,U. Thiyagarajan|Orchestra,/artist/u-thiyagarajan-1|/artist/orchestra,05:43,Tamil,04-01-2022,0.71,0.306,0.737,0.368,-12.772,0.0423,134.699,1,6,0.001,4,43,1191929,2022
Azhage Azhagu Deivathai,K J Yesudas,/artist/k-j-yesudas,04:28,Tamil,10-06-2008,0.21,0.122,0.891,0.787,-4.739,0.08,119.988,0,11,0.0053,4,64,6424146,2008
Unnai Naan Paarthathu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,03:28,Tamil,06-08-2005,0.6,0.08,0.421,0.68,-6.126,0.057,200.022,1,0,0.08,4,52,6705105,2005
Abhisheka,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:23,Tamil,01-11-2022,0.05,0.08,0.397,0.12,-6.711,0.07,160.007,1,0,0.066,4,76,9795652,2022
Neela Chelai,P. Susheela,/artist/p-suseela-2,04:45,Tamil,07-02-2004,0.56,0.545,0.413,0.186,-9.85,0.013,105.951,1,1,0.027,4,89,8170748,2004
Vetkamillai,P. Susheela,/artist/p-suseela-2,03:31,Tamil,02-01-2003,0.25,0.814,0.02,0.336,-7.489,0.0075,122.008,1,1,0.093,4,41,3745083,2003
Kadavul Ennum,T.M. Soundararajan,/artist/tm-soundararajan,03:33,Tamil,07-11-2007,0.98,0.27,0.737,0.03,-9.294,0.06,139.893,0,4,0.056,4,55,3668483,2007
Happy Indrumudal Happy,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,04:34,Tamil,03-12-2020,0.18,0.45,0.871,0.52,-8.104,0.01,115.208,0,0,0.0195,4,72,9943477,2020
ENTHAN PARUVATHIN - 1987,P.B. Sreenivas|S. Janaki,/artist/pb-sreenivas|/artist/s-janaki,03:29,Tamil,06-03-2002,0.78,0.632,0.759,0.358,-9.656,0.07,111.048,1,9,0.0274,4,63,5760374,2002
Meladai Megaththil,Kousalya|P. Jayachandran,/artist/kousalya|/artist/p-jayachandran-1,04:17,Tamil,10-10-2022,0.36,0.84,0.909,0.34,-4.14,0.028,139.926,0,10,0.04,4,99,4020330,2022
Annavin Thalaimaiyile,S. C. Krishnan,/artist/s-c-krishnan-1,03:06,Tamil,11-03-2022,0.38,0.992,0.778,0.12,-5.121,0.0036,129.377,1,11,0.011,4,78,8844060,2022
Nethu Poothale,T.M. Soundararajan,/artist/tm-soundararajan,04:27,Tamil,07-09-2007,0.8,0.16,0.919,0.6,-8.334,0.0625,145.045,1,7,0.093,4,65,8964940,2007
O Maanida Jaathiye,T.M. Soundararajan,/artist/tm-soundararajan,02:05,Tamil,05-06-2000,0.86,0.12,0.652,0.2,-9.287,0.007,171.956,1,1,0.0672,4,77,4464983,2000
Ulagam Aayiram,T.M. Soundararajan,/artist/tm-soundararajan,03:37,Tamil,02-12-2020,0.92,0.48,0.901,0.499,-4.546,0.098,203.932,1,7,0.01,4,54,2535168,2020
Naanichivanthana,Tiruchi Loganathan,/artist/tiruchi-loganathan,01:16,Tamil,05-08-2022,0.42,0.02,0.314,0.04,-10.555,0.05,200.026,0,10,0.086,4,98,8727902,2022
Unnaiththaney,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,03:18,Tamil,04-07-2003,0.47,0.544,0.841,0.944,-4.77,0.0886,109.648,1,4,0.0777,4,38,7117292,2003
Malligai Mullai Poopanthal,Vani Jairam,/artist/vani-jayaram,03:03,Tamil,06-02-2024,0.08,0.85,0.637,0.38,-2.897,0.04,120.0,0,1,0.03,4,50,8426289,2024
Karagattam Kamakshi,L.R. Anjali|M.R. Chandran Babu|B.V.U. Raghupathy,/artist/lr-anjali|/artist/mr-chandran-babu-4|/artist/bvu-raghupathy-3,05:51,Tamil,12-09-2022,0.42,0.48,0.267,0.447,-4.935,0.0442,123.962,1,1,0.0933,4,66,1046563,2022
Kaathal Oru,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:52,Tamil,02-11-2002,0.52,0.851,0.371,0.895,-3.637,0.046,117.043,0,10,0.09,4,80,3663599,2002
Aduthathu Ambujathai,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:57,Tamil,03-04-2021,0.76,0.31,0.891,0.98,-4.152,0.0238,169.929,0,11,0.066,4,33,7048854,2021
Thirisoola Nayagi,Uma Ramanan,/artist/uma-ramanan-1,04:20,Tamil,03-04-2004,0.38,0.852,0.764,0.598,-4.218,0.07,150.07,0,9,0.0749,4,90,10166063,2004
Pillayar Soozhi,Seergazhi G.Sivachidambaram,/artist/seergazhi-gsivachidambaram,05:40,Tamil,01-09-2002,0.12,0.644,0.788,0.235,-3.915,0.008,135.005,0,10,0.069,4,27,8928442,2002
Indha Pachchaikilikkoru,K J Yesudas,/artist/k-j-yesudas,01:59,Tamil,12-10-2022,0.32,0.785,0.946,0.411,-3.524,0.08,158.865,0,8,0.0092,4,92,7604882,2022
Aadavendum Mayile,S. Janaki|T.M. Soundararajan,/artist/s-janaki|/artist/tm-soundararajan,03:16,Tamil,05-06-2001,0.68,0.963,0.498,0.927,-6.129,0.0084,129.854,1,7,0.008,4,89,5069859,2001
Nalla Nalla Nilam,T.M. Soundararajan,/artist/tm-soundararajan,03:53,Tamil,08-11-2001,0.24,0.28,0.444,0.22,-2.171,0.0696,139.947,0,10,0.063,4,51,7773888,2001
Story And Dialogues Part Ii,Sivaji Ganesan|Vanisri|K. Balaji,/artist/sivaji-ganesan|/artist/vanisri|/artist/k-balaji,19:54,Tamil,05-06-2000,0.6,0.713,0.624,0.096,-12.938,0.03,140.028,1,9,0.02,4,82,517763,2000
Swargam Pakkathil,L.R. Eswari|T.M. Soundararajan,/artist/lr-eswari-2|/artist/tm-soundararajan,03:31,Tamil,09-05-2006,0.77,0.383,0.854,0.967,-9.502,0.0551,132.96,1,11,0.0699,4,40,7143326,2006
Engamma Magarasi,T.M. Soundararajan,/artist/tm-soundararajan,06:14,Tamil,09-02-2022,0.57,0.39,0.439,0.75,-4.641,0.065,159.786,1,1,0.0747,4,39,5577143,2022
Silar Sirippaar,T.M. Soundararajan,/artist/tm-soundararajan,05:46,Tamil,03-09-2006,0.6,0.315,0.381,0.981,-6.205,0.01,174.174,1,0,0.019,4,53,5346254,2006
Kannum Kannum - Duet,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,06:22,Tamil,08-03-2003,0.73,0.83,0.439,0.62,-4.891,0.05,140.028,1,9,0.0176,4,81,5013296,2003
Deva Gana Geethame,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:36,Tamil,09-05-2000,0.22,0.53,0.409,0.21,-6.61,0.029,129.021,1,11,0.007,4,90,3598052,2000
Devi Sridevi vun Thirumal,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:33,Tamil,04-04-2009,0.36,0.189,0.427,0.973,-2.968,0.0913,138.132,0,4,0.096,4,61,6368430,2009
Devamrudham,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,05:23,Tamil,04-03-2009,0.6,0.91,0.353,0.46,-2.027,0.01,156.066,1,1,0.0803,4,83,8261885,2009
Siritthu Vaazha Vendum,T.M. Soundararajan|Chorus,/artist/tm-soundararajan|/artist/chorus,04:42,Tamil,08-03-2001,0.1,0.695,0.173,0.232,-7.181,0.081,135.02,1,1,0.0987,4,27,11385191,2001
Thirupadhi Malayil,M. S. Viswanathan,/artist/m-s-viswanathan-2,04:13,Tamil,05-06-2001,0.65,0.32,0.539,0.43,-12.425,0.0312,111.792,1,9,0.0884,4,80,1971489,2001
Bansayee,T.M. Soundararajan|L.R. Eswari,/artist/tm-soundararajan|/artist/lr-eswari-2,04:44,Tamil,05-02-2008,0.21,0.644,0.339,0.942,-3.46,0.1,200.042,1,1,0.06,4,88,7687402,2008
L O V E - Lovethaan,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,04:19,Tamil,09-07-2022,0.85,0.67,0.323,0.43,-6.038,0.041,168.156,0,8,0.0019,4,75,568736,2022
Naanoru Kuzhandhai,T.M. Soundararajan,/artist/tm-soundararajan,03:44,Tamil,07-07-2002,0.15,0.443,0.287,0.331,-8.85,0.028,109.116,0,11,0.0969,4,63,9660290,2002
Kodi Assainthathum,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:38,Tamil,05-11-2000,0.62,0.226,0.458,0.782,-2.8,0.004,191.871,0,3,0.071,4,41,995761,2000
Thiruvizha Koothu,Gangai Amaran|Bharathiraja|Ilaiyaraaja,/artist/gangai-amaran|/artist/bharathiraja|/artist/iiaiyaraaja,05:49,Tamil,01-06-2006,0.83,0.82,0.345,0.35,-11.25,0.03,149.98,1,8,0.0126,4,68,7638215,2006
Paarvai Ondre Pothume,T.M. Soundararajan|L.R. Eswari,/artist/tm-soundararajan|/artist/lr-eswari-2,04:22,Tamil,10-04-2006,0.52,0.693,0.968,0.259,-9.077,0.0598,160.302,1,3,0.02,4,31,1780417,2006
Pandian Naanirukka,L.R. Eswari|S.C. Krishnan,/artist/lr-eswari-2|/artist/sc-krishnan-37,03:18,Tamil,05-07-2020,0.59,0.05,0.022,0.51,-13.752,0.06,145.029,1,8,0.025,4,98,11009462,2020
En Kalyana,Vani Jairam,/artist/vani-jayaram,03:57,Tamil,08-02-2023,0.58,0.958,0.74,0.186,-4.63,0.07,159.964,0,9,0.049,4,43,8750775,2023
Nadodi Nadodi,P. Susheela|A.L. Raghavan|T.M. Soundararajan,/artist/p-suseela-2|/artist/al-raghavan-1|/artist/tm-soundararajan,06:47,Tamil,09-01-2021,0.41,0.3,0.274,0.38,-10.328,0.02,153.02,1,11,0.008,4,55,3386867,2021
Masthaana,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,06:14,Tamil,03-09-2020,0.32,0.98,0.847,0.08,-11.74,0.0966,130.027,0,0,0.008,4,44,10412627,2020
Moham Thagam Vandhu,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:44,Tamil,01-05-2007,0.81,0.05,0.173,0.27,-6.701,0.022,150.322,0,6,0.09,4,67,3538569,2007
Ho Ho Ethanai Azhagu,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,04:05,Tamil,11-01-2004,0.86,0.43,0.374,0.9,-10.132,0.008,116.0,1,1,0.0861,4,72,9632480,2004
Gnayiru Oli Mazhayil,Kamal Haasan,/artist/kamal-haasan,03:30,Tamil,01-03-2023,0.16,0.57,0.824,0.22,-12.663,0.0689,130.009,1,6,0.093,4,56,133447,2023
Thanimayilae Inimai Kaana,A. M. Rajah|P. Susheela,/artist/a-m-rajah-1|/artist/p-suseela-2,04:00,Tamil,10-04-2006,0.73,0.039,0.675,0.473,-7.703,0.0932,146.979,0,10,0.08,4,80,7877982,2006
Muthukkalo Kangal,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:38,Tamil,08-03-2022,0.07,0.69,0.908,0.17,-12.771,0.0171,135.153,1,1,0.09,4,30,1444335,2022
Then Malli Poove,S. Janaki|T.M. Soundararajan,/artist/s-janaki|/artist/tm-soundararajan,04:01,Tamil,11-06-2001,0.89,0.993,0.062,0.302,-7.311,0.02,199.994,1,2,0.08,3,33,7599435,2001
Vaasamilla,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:49,Tamil,04-04-2005,0.91,0.24,0.921,0.33,-3.209,0.07,177.506,1,0,0.025,4,93,3078186,2005
Ambigaiye Eswariye,T.M. Soundararajan,/artist/tm-soundararajan,04:23,Tamil,10-08-2000,0.78,0.291,0.175,0.605,-6.851,0.025,178.929,0,1,0.053,4,89,8490709,2000
Ungalil Oruvan,T.M. Soundararajan,/artist/tm-soundararajan,03:59,Tamil,07-07-2007,0.12,0.9,0.571,0.23,-2.832,0.03,118.8,0,6,0.085,4,88,3816596,2007
Kathalikka,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:16,Tamil,08-07-2008,0.27,0.57,0.064,0.12,-6.554,0.0824,160.12,1,0,0.03,4,49,5896530,2008
Degam Suduguthu Vaadi,K. S. Chithra|S. P. Balasubrahmanyam,/artist/chitra|/artist/s-p-balasubrahamanyam,05:16,Tamil,01-04-2009,0.53,0.067,0.119,0.903,-3.975,0.0576,179.974,0,7,0.0225,4,29,3835862,2009
Thanimayil,Vani Jairam,/artist/vani-jayaram,04:24,Tamil,08-04-2006,0.61,0.4,0.794,0.39,-5.199,0.1,109.164,1,1,0.007,4,99,6956479,2006
Alli Alli,Malaysia Vasudevan|B.S.Sasirekha,/artist/malaysia-vasudevan|/artist/bssasirekha-1,04:01,Tamil,08-11-2001,0.63,0.348,0.828,0.152,-12.838,0.09,143.991,1,9,0.028,4,25,4992879,2001
Yen Thaien Meethu Aanai,Malaysia Vasudevan,/artist/malaysia-vasudevan,04:30,Tamil,11-04-2005,0.64,0.88,0.783,0.48,-10.141,0.09,160.02,1,8,0.0,4,71,7680918,2005
Masthaana,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,06:17,Tamil,09-10-2020,0.52,0.158,0.703,0.942,-12.874,0.0238,150.039,0,4,0.001,4,62,6366577,2020
Harerama Harekrishna,M. S. Viswanathan,/artist/m-s-viswanathan-2,03:02,Tamil,05-08-2003,0.17,0.31,0.266,0.29,-11.474,0.0426,155.048,1,7,0.0383,4,94,4335975,2003
Vizhigal Meydaiyam Imaigal,Kalyan|S. Janaki,/artist/kalyan|/artist/s-janaki,04:36,Tamil,10-07-2022,0.3,0.24,0.568,0.71,-8.807,0.085,178.522,1,1,0.0193,4,93,6906788,2022
Kuthura Kuthula,Malaysia Vasudevan|Vijayaramani|Manorama,/artist/malaysia-vasudevan|/artist/vijayaramani|/artist/manorama,04:15,Tamil,01-11-2006,0.95,0.278,0.364,0.685,-9.05,0.002,199.968,1,1,0.009,4,80,8297647,2006
Annai Fathima,Nagore E.M. Hanifa,/artist/nagore-em-hanifa-97,03:11,Tamil,11-10-2022,0.02,0.75,0.758,0.48,-4.909,0.0686,149.998,1,11,0.03,4,41,5287792,2022
Muruganin Kovilil and Dhinam Dhinam,T.M. Soundararajan,/artist/tm-soundararajan,03:07,Tamil,12-01-2020,0.89,0.39,0.208,0.2,-9.336,0.0655,104.98,1,1,0.013,4,44,1042071,2020
Oru Thai Maasam,S. Janaki|Chorus,/artist/s-janaki|/artist/chorus,03:15,Tamil,04-11-2009,0.24,0.156,0.445,0.862,-6.421,0.0116,155.881,1,0,0.027,4,85,127931,2009
Yamuna Nadhikku Vandhu,S. Janaki,/artist/s-janaki,04:37,Tamil,03-09-2022,0.11,0.73,0.6,0.85,-13.254,0.01,198.026,1,1,0.0,4,41,314619,2022
Kudippatharkku Oru,T M S Selvakumar,/artist/t-m-s-selvakumar,03:28,Tamil,04-01-2008,0.81,0.445,0.85,0.796,-7.611,0.03,161.975,0,11,0.057,4,80,474105,2008
Adios Good Bye,M.S. Liban Bindey,/artist/ms-liban-bindey-2,03:16,Tamil,09-10-2007,0.5,0.06,0.642,0.2,-3.505,0.088,144.955,1,1,0.034,4,77,4908885,2007
Kannana Kannanukku,P. Susheela|Sirkazhi Govindarajan,/artist/p-suseela-2|/artist/sirkazhi-govindarajan,05:09,Tamil,04-12-2006,0.53,0.155,0.939,0.98,-3.428,0.062,118.948,1,8,0.01,4,36,5643151,2006
Irandu Kaigal Naangu,K J Yesudas|S. P. Balasubrahmanyam,/artist/k-j-yesudas|/artist/s-p-balasubrahamanyam,04:25,Tamil,11-02-2007,0.85,0.39,0.19,0.55,-4.496,0.04,121.035,0,4,0.0717,4,50,322544,2007
Nilavo Aval Irulo,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,03:19,Tamil,07-12-2022,0.8,0.15,0.243,0.1,-13.975,0.086,170.03,1,4,0.081,4,81,1990311,2022
Annamitta Kaigalukku,P. Susheela,/artist/p-suseela-2,03:32,Tamil,10-09-2006,0.43,0.14,0.812,0.29,-8.696,0.0594,153.044,1,4,0.09,4,73,10104524,2006
Yean Yean Yean Orukinnathai,B Vasanta|T M S Selvakumar,/artist/b-vasanta|/artist/t-m-s-selvakumar,03:19,Tamil,03-05-2003,0.12,0.183,0.498,0.856,-2.056,0.06,137.042,1,2,0.08,4,70,3093955,2003
Paal Kavadi,Soolamangalam Sisters,/artist/soolamangalam-sisters,03:04,Tamil,12-07-2022,0.85,0.22,0.54,0.34,-11.003,0.072,127.784,1,0,0.03,4,42,11032339,2022
Yesuvin Naamathil,Agnes Davidson,/artist/agnes-davidson,03:02,Tamil,05-01-2002,0.17,0.516,0.776,0.834,-12.895,0.098,127.435,1,7,0.082,4,86,4914662,2002
Vendriduven,T.M. Soundararajan|Sirkazhi Govindarajan,/artist/tm-soundararajan|/artist/sirkazhi-govindarajan,06:56,Tamil,10-02-2005,0.72,0.51,0.517,0.65,-11.444,0.02,178.442,1,1,0.037,4,97,8720010,2005
Sorgam Madhuvile,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:34,Tamil,06-01-2006,0.65,0.73,0.118,0.94,-2.365,0.0995,155.955,1,1,0.04,4,95,3106852,2006
Karunai Mazhaiyae,P. Susheela,/artist/p-suseela-2,04:13,Tamil,05-03-2024,0.33,0.476,0.765,0.781,-8.287,0.084,143.129,1,1,0.0354,4,60,3106464,2024
Romba Naalaga,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,04:42,Tamil,08-10-2023,0.38,0.74,0.662,0.21,-4.128,0.039,200.052,1,8,0.0187,4,44,10100701,2023
Nalla Idam,P Suhseela|T M S Selvakumar,/artist/p-suhseela|/artist/t-m-s-selvakumar,04:31,Tamil,10-03-2005,0.24,0.781,0.466,0.135,-13.167,0.0711,190.04,1,9,0.08,4,41,9392297,2005
Aadaamal Aadugiren,P. Susheela,/artist/p-suseela-2,04:03,Tamil,06-03-2005,0.47,0.013,0.903,0.868,-9.401,0.0893,152.984,1,11,0.087,4,63,9388314,2005
Azhagaana Chinnakutti,S. Janaki|Chandra Bose,/artist/s-janaki|/artist/chandra-bose,04:58,Tamil,02-02-2001,0.45,0.764,0.526,0.574,-10.8,0.052,127.995,0,11,0.04,4,63,7894720,2001
Mazhai Varuvathu,S. Janaki,/artist/s-janaki,04:40,Tamil,03-01-2021,0.08,0.214,0.982,0.62,-6.698,0.0886,176.996,1,2,0.0537,4,78,2924683,2021
Enna Uravo,T.M. Soundararajan,/artist/tm-soundararajan,04:01,Tamil,02-11-2006,0.42,0.27,0.719,0.2,-5.302,0.0035,148.393,0,10,0.01,4,59,7204493,2006
Enthan Kannil,Sowmya,/artist/sowmya,06:18,Tamil,09-03-2020,0.33,0.443,0.598,0.44,-12.203,0.003,172.762,0,8,0.06,4,99,6839758,2020
Kaalangalil - Instrumental,Kunnakudi Vaidyanathan,/artist/kunnakkudi-baidyanathan,03:02,Tamil,06-06-2005,0.39,0.723,0.688,0.106,-7.628,0.085,165.987,1,8,0.02,4,78,3132173,2005
Paarppukazhum Pannaari,L.R. Eswari,/artist/lr-eswari-2,04:37,Tamil,12-09-2007,0.1,0.446,0.009,0.96,-10.128,0.0289,171.98,1,0,0.0,4,42,10931615,2007
Kandar Alankaram - Part1 - With Introductory Speech,Sirkazhi Govindarajan|Kripananda Variyar,/artist/sirkazhi-govindarajan|/artist/kripananda-variyar,22:09,Tamil,10-01-2021,0.08,0.06,0.651,0.3,-3.263,0.01,159.911,0,5,0.024,4,59,7132469,2021
Naan Thannanthani,T.M. Soundararajan,/artist/tm-soundararajan,03:31,Tamil,07-02-2023,0.56,0.486,0.79,0.7,-5.621,0.02,129.857,0,4,0.04,4,35,10733689,2023
Mullaippoo Pallakku,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,03:21,Tamil,03-07-2020,1.0,0.003,0.161,0.208,-2.478,0.003,129.876,0,8,0.05,4,81,4146246,2020
Thendralodu Udan Piranthaal,T.R. Mahalingam,/artist/tr-mahalingam,03:28,Tamil,10-02-2004,0.03,0.553,0.381,0.315,-3.157,0.0475,162.01,0,10,0.03,4,73,7008654,2004
Thenpandi Cheeme Orama,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:31,Tamil,09-05-2023,0.77,0.79,0.413,0.3,-13.156,0.081,140.031,0,3,0.065,4,25,1172704,2023
Ananda Thagam,Deepan Chakravarthy|S. Janaki,/artist/deepan-chakravarthy|/artist/s-janaki,04:48,Tamil,11-01-2003,0.27,0.437,0.392,0.24,-11.448,0.0983,119.906,1,2,0.098,4,44,1480396,2003
Aayi Aayi Main To Aayi,Asha Bhosle|Kishore Kumar,/artist/asha-bhosle-1|/artist/kishore-kumar,07:03,Tamil,06-02-2021,0.26,0.1,0.647,0.9,-9.55,0.0752,123.229,1,4,0.081,4,28,4345442,2021
Aandrondru Ponaal,S. Janaki|P.B. Sreenivas,/artist/s-janaki|/artist/pb-sreenivas,03:02,Tamil,03-10-2022,0.39,0.48,0.368,0.9,-5.553,0.01,109.97,1,0,0.0132,4,78,751025,2022
Naalai Namathe (Female),P. Susheela|L.R. Anjali,/artist/p-suseela-2|/artist/lr-anjali,04:39,Tamil,06-11-2002,0.89,0.455,0.346,0.132,-7.046,0.01,103.992,0,0,0.09,4,78,6902403,2002
Paalirukkum,P. Susheela,/artist/p-suseela-2,03:39,Tamil,05-08-2023,0.23,0.23,0.111,0.8,-6.277,0.0766,127.965,1,1,0.027,4,85,10961364,2023
Mani Maaligai,P. Jayachandran|Chorus,/artist/p-jayachandran-1|/artist/chorus,04:18,Tamil,01-01-2001,0.15,0.413,0.494,0.916,-5.776,0.0646,120.028,1,8,0.01,4,89,11228056,2001
Senkezharutha,T.M. Soundararajan,/artist/tm-soundararajan,03:18,Tamil,05-03-2002,0.46,0.74,0.958,0.4,-7.615,0.06,119.973,0,10,0.08,4,37,4009343,2002
You Are Like A Fountain,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,02:09,Tamil,06-03-2021,0.81,0.273,0.299,0.513,-3.463,0.005,201.906,0,4,0.027,4,60,5315895,2021
Vaanam Polea Vannam,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,04:30,Tamil,09-02-2004,0.85,0.67,0.019,0.3,-9.18,0.0916,159.889,1,1,0.045,4,78,7834302,2004
Anbu Megame,S. P. Balasubrahmanyam|Vani Jairam,/artist/s-p-balasubrahamanyam|/artist/vani-jayaram,03:03,Tamil,08-09-2004,0.44,0.1,0.633,0.5,-12.139,0.04,189.828,0,1,0.03,4,52,4661110,2004
Raja Embaar,S. Janaki|S. P. Balasubrahmanyam,/artist/s-janaki|/artist/s-p-balasubrahamanyam,04:32,Tamil,01-04-2020,0.06,0.24,0.177,0.522,-11.554,0.0825,150.0,1,8,0.0892,4,60,1317673,2020
Naalupakkam Vedan Undu,Vani Jairam|S. P. Balasubrahmanyam,/artist/vani-jayaram|/artist/s-p-balasubrahamanyam,03:03,Tamil,02-09-2002,0.13,0.86,0.288,0.8,-10.71,0.0871,141.001,1,1,0.008,4,83,10595751,2002
Thuhey Raaja,S. Janaki,/artist/s-janaki,04:27,Tamil,01-09-2002,0.56,0.533,0.743,0.349,-2.728,0.052,176.942,1,11,0.07,4,79,4299609,2002
Engalai Nee,L.R. Eswari,/artist/lr-eswari-2,04:01,Tamil,10-11-2005,0.58,0.98,0.282,0.7,-2.394,0.04,115.013,1,8,0.05,4,71,10068561,2005
Thendral Varum,P. Susheela,/artist/p-suseela-2,03:21,Tamil,08-02-2008,0.18,0.59,0.195,0.892,-7.06,0.063,105.946,1,8,0.04,4,46,2886535,2008
